# EHPower estimated for Planck15 cosmology at a=1.00 with nbodykit
# k, P(k)
1.000000000000000082e-05 4.465674732438380801e+01
1.009257536193750584e-05 4.505632917667541193e+01
1.018600774363881975e-05 4.545948639731346219e+01
1.028030507899538109e-05 4.586625097705981347e+01
1.037547537534697958e-05 4.627665519289253382e+01
1.047152671416164412e-05 4.669073161056549992e+01
1.056846725172182243e-05 4.710851308719123409e+01
1.066630521981710498e-05 4.753003277384743086e+01
1.076504892644317619e-05 4.795532411820617824e+01
1.086470675650722014e-05 4.838442086718622193e+01
1.096528717254007193e-05 4.881735706963051058e+01
1.106679871541475409e-05 4.925416707900598112e+01
1.116925000507166042e-05 4.969488555612812064e+01
1.127264974125066012e-05 5.013954747191041150e+01
1.137700670422976303e-05 5.058818811013748729e+01
1.148232975557073736e-05 5.104084307026369061e+01
1.158862783887151206e-05 5.149754827023589598e+01
1.169590998052577230e-05 5.195833994934268674e+01
1.180418529048936333e-05 5.242325467108804560e+01
1.191346296305380772e-05 5.289232932609078830e+01
1.202375227762718679e-05 5.336560113501055724e+01
1.213506259952203703e-05 5.384310765149948708e+01
1.224740338075054131e-05 5.432488676517981219e+01
1.236078416082730430e-05 5.481097670464926352e+01
1.247521456757932778e-05 5.530141604051221549e+01
1.259070431796349902e-05 5.579624368843809634e+01
1.270726321889185842e-05 5.629549891224790059e+01
1.282490116806429215e-05 5.679922132702739646e+01
1.294362815480892271e-05 5.730745090226812977e+01
1.306345426093051571e-05 5.782022796503746775e+01
1.318438966156651343e-05 5.833759320317597030e+01
1.330644462605097791e-05 5.885958766852331081e+01
1.342962951878678250e-05 5.938625278017396170e+01
1.355395480012564177e-05 5.991763032776107423e+01
1.367943102725626458e-05 6.045376247476961140e+01
1.380606885510100618e-05 6.099469176188006259e+01
1.393387903722054513e-05 6.154046111034102040e+01
1.406287242672695776e-05 6.209111382537187751e+01
1.419305997720548139e-05 6.264669359959702888e+01
1.432445274364453450e-05 6.320724451650931286e+01
1.445706188337452403e-05 6.377281105396552618e+01
1.459089865701515684e-05 6.434343808771193096e+01
1.472597442943182291e-05 6.491917089494279480e+01
1.486230067070056410e-05 6.550005515788944876e+01
1.499988895708197904e-05 6.608613696744164656e+01
1.513875097200440651e-05 6.667746282680171532e+01
1.527889850705594667e-05 6.727407965517120658e+01
1.542034346298566078e-05 6.787603479146928009e+01
1.556309785071431702e-05 6.848337599808662901e+01
1.570717379235421981e-05 6.909615146467075419e+01
1.585258352223847006e-05 6.971440981194562880e+01
1.599933938796004759e-05 7.033820009556623631e+01
1.614745385142022106e-05 7.096757181000687353e+01
1.629693948988666157e-05 7.160257489248328966e+01
1.644780899706165279e-05 7.224325972691214304e+01
1.660007518415988284e-05 7.288967714790337027e+01
1.675375098099622431e-05 7.354187844478921932e+01
