# EHPower estimated for Planck15 cosmology at a=0.01 with nbodykit
# k, P(k)
1.000000000000000082e-05 7.696156656509603629e-03
1.009257536193750584e-05 7.765020707668459504e-03
1.018600774363881975e-05 7.834500938834762854e-03
1.028030507899538109e-05 7.904602863305597304e-03
1.037547537534697958e-05 7.975332043704635304e-03
1.047152671416164412e-05 8.046694092423251413e-03
1.056846725172182243e-05 8.118694672065645407e-03
1.066630521981710498e-05 8.191339495898068007e-03
1.076504892644317619e-05 8.264634328301934119e-03
1.086470675650722014e-05 8.338584985230908589e-03
1.096528717254007193e-05 8.413197334672360000e-03
1.106679871541475409e-05 8.488477297112649936e-03
1.116925000507166042e-05 8.564430846006667111e-03
1.127264974125066012e-05 8.641064008251679238e-03
1.137700670422976303e-05 8.718382864665271889e-03
1.148232975557073736e-05 8.796393550467620712e-03
1.158862783887151206e-05 8.875102255768003295e-03
1.169590998052577230e-05 8.954515226055823063e-03
1.180418529048936333e-05 9.034638762695853739e-03
1.191346296305380772e-05 9.115479223427935124e-03
1.202375227762718679e-05 9.197043022871236387e-03
1.213506259952203703e-05 9.279336633032951587e-03
1.224740338075054131e-05 9.362366583821453425e-03
1.236078416082730430e-05 9.446139463564250452e-03
1.247521456757932778e-05 9.530661919530381693e-03
1.259070431796349902e-05 9.615940658457481152e-03
1.270726321889185842e-05 9.701982447083744646e-03
1.282490116806429215e-05 9.788794112684420790e-03
1.294362815480892271e-05 9.876382543613164422e-03
1.306345426093051571e-05 9.964754689848337454e-03
1.318438966156651343e-05 1.005391756354407154e-02
1.330644462605097791e-05 1.014387823958620184e-02
1.342962951878678250e-05 1.023464385615335814e-02
1.355395480012564177e-05 1.032622161528292358e-02
1.367943102725626458e-05 1.041861878344200326e-02
1.380606885510100618e-05 1.051184269210368553e-02
1.393387903722054513e-05 1.060590073832827322e-02
1.406287242672695776e-05 1.070080038534971731e-02
1.419305997720548139e-05 1.079654916316744560e-02
1.432445274364453450e-05 1.089315466914328109e-02
1.445706188337452403e-05 1.099062456860382814e-02
1.459089865701515684e-05 1.108896659544808538e-02
1.472597442943182291e-05 1.118818855276070869e-02
1.486230067070056410e-05 1.128829831343057706e-02
1.499988895708197904e-05 1.138930382077484385e-02
1.513875097200440651e-05 1.149121308916876798e-02
1.527889850705594667e-05 1.159403420468101305e-02
1.542034346298566078e-05 1.169777532571449064e-02
